method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
PPO,0,perturb,5,10.961824771227578,1,0.850966793502485,616.5078691618364,0.0035088062286376953
Constrained-SAC,0,nominal,-1,15.517164878342015,0,0.8460232004946944,118.9123151285603,0.004670858383178711
Constrained-SAC,0,perturb,0,15.488027012906539,0,0.8459095131702142,191.8597967379228,0.004670858383178711
Constrained-SAC,0,perturb,1,16.682313557480576,0,0.8466862448287159,77.15146567898228,0.004670858383178711
Constrained-SAC,0,perturb,2,16.315929223023723,0,0.8419772940268738,52.63315831976797,0.004670858383178711
Constrained-SAC,0,perturb,3,16.633719030043313,0,0.8438528130138717,82.13553264559596,0.004670858383178711
Constrained-SAC,0,perturb,4,17.70703402996067,1,0.8463069420241874,63.99158122087647,0.004670858383178711
Constrained-SAC,0,perturb,5,16.24176407207889,0,0.8451427535001838,146.71907624520645,0.004670858383178711
Distilled-MPC,0,nominal,-1,5.358398493668689,1,0.835217189406445,18.60635243015531,0.0023651123046875
Distilled-MPC,0,perturb,0,4.459950957148784,1,0.8395113233052792,205.05701657353347,0.0023651123046875
Distilled-MPC,0,perturb,1,6.889820521910379,2,0.8348522436959088,12.901150748624787,0.0023651123046875
Distilled-MPC,0,perturb,2,4.8264423566821435,1,0.8377120475352321,7.5667268791276,0.0023651123046875
Distilled-MPC,0,perturb,3,4.799426568393433,1,0.8380386848579334,91.75717089123646,0.0023651123046875
Distilled-MPC,0,perturb,4,5.266476249967492,1,0.8337027489830638,13.404398853102975,0.0023651123046875
Distilled-MPC,0,perturb,5,5.739306154174199,1,0.8343899890429576,196.09008561402516,0.0023651123046875
SAC,1,nominal,-1,18.326927606913568,0,0.8397371276891746,353.91272868687156,0.00470280647277832
SAC,1,perturb,0,18.345451620623813,0,0.8404301613388684,381.9816973291454,0.00470280647277832
SAC,1,perturb,1,10.49756740866451,0,0.8559800222364501,389.1927455871519,0.00470280647277832
SAC,1,perturb,2,15.348710405304251,0,0.8548087175055583,298.16555756171874,0.00470280647277832
SAC,1,perturb,3,14.25751159073581,0,0.8320353005131936,414.0260303758514,0.00470280647277832
SAC,1,perturb,4,11.91313178135812,0,0.8487903167308399,335.5067858331313,0.00470280647277832
SAC,1,perturb,5,21.84543836354925,0,0.8353435963277546,151.36925544019687,0.00470280647277832
TD3,1,nominal,-1,23.94902170206411,0,0.8033653320890409,92.9277819596391,0.00419306755065918
TD3,1,perturb,0,22.800904201141385,0,0.8069592871051637,326.37548071191486,0.00419306755065918
TD3,1,perturb,1,27.83802720811977,0,0.8109191025305224,249.57537886848695,0.00419306755065918
TD3,1,perturb,2,23.84106853786634,0,0.8029888333331581,6.020197328452923,0.00419306755065918
TD3,1,perturb,3,24.953811148116458,0,0.7992751477542036,151.80908629706573,0.00419306755065918
TD3,1,perturb,4,27.2391864833102,0,0.8138284684846191,222.40220855263397,0.00419306755065918
TD3,1,perturb,5,22.9442739324192,0,0.8035880752004566,91.31070347768946,0.00419306755065918
PPO,1,nominal,-1,9.63140388883934,0,0.8506957610751922,649.5483501922536,0.0034151077270507812
PPO,1,perturb,0,10.025620583924447,0,0.8497184932026465,635.5890851774147,0.0034151077270507812
PPO,1,perturb,1,8.151837812072271,0,0.8530851195288441,675.5320828231452,0.0034151077270507812
PPO,1,perturb,2,5.91911541270084,0,0.8493805081169912,740.6589756206686,0.0034151077270507812
PPO,1,perturb,3,5.916900059552242,0,0.8469295150412891,718.9032804823328,0.0034151077270507812
PPO,1,perturb,4,7.59006014580104,0,0.8497975602584452,678.2303874961744,0.0034151077270507812
PPO,1,perturb,5,13.434817399752092,0,0.8501884973475274,613.75867011019,0.0034151077270507812
Constrained-SAC,1,nominal,-1,11.32034890803074,0,0.83936351554041,32.15151116083325,0.0046427249908447266
Constrained-SAC,1,perturb,0,9.771373908235761,0,0.8446312284271945,85.77959767792709,0.0046427249908447266
Constrained-SAC,1,perturb,1,14.556849205367461,0,0.846551314543779,20.16017587025999,0.0046427249908447266
Constrained-SAC,1,perturb,2,11.871904064361933,0,0.8440010923448701,33.076870945564224,0.0046427249908447266
Constrained-SAC,1,perturb,3,10.134199316022475,0,0.8391502812800168,38.43510665719259,0.0046427249908447266
Constrained-SAC,1,perturb,4,14.233274853712091,0,0.8393697213701606,214.5246235656232,0.0046427249908447266
Constrained-SAC,1,perturb,5,9.78787062569594,0,0.8456995580979272,63.686911542181406,0.0046427249908447266
Distilled-MPC,1,nominal,-1,5.827673305961785,1,0.8346601982598886,28.19431375505519,0.002607107162475586
Distilled-MPC,1,perturb,0,5.260844400469876,1,0.8391460897280357,36.99551055903066,0.002607107162475586
Distilled-MPC,1,perturb,1,6.777712557106129,0,0.8357382923512334,96.68616217980525,0.002607107162475586
Distilled-MPC,1,perturb,2,5.3756587310167765,1,0.8366484549605389,2.9960195612839016,0.002607107162475586
Distilled-MPC,1,perturb,3,5.100071579869228,1,0.837885381438471,32.842190775272684,0.002607107162475586
Distilled-MPC,1,perturb,4,6.402075569726424,0,0.8367559348163572,8.1151464908653,0.002607107162475586
Distilled-MPC,1,perturb,5,7.084897920326935,2,0.8328159977667641,9.137119555844038,0.002607107162475586
SAC,2,nominal,-1,7.060899136373774,0,0.8444624129406928,611.0307142200036,0.0045430660247802734
SAC,2,perturb,0,10.981716445739798,0,0.8475952264947496,536.8843142215082,0.0045430660247802734
SAC,2,perturb,1,13.972070086016567,0,0.8316849116442425,464.48261094312693,0.0045430660247802734
SAC,2,perturb,2,13.766397839141476,0,0.833654642177728,440.2249744981891,0.0045430660247802734
SAC,2,perturb,3,8.632080633530979,0,0.8402275510132343,596.4201118402598,0.0045430660247802734
SAC,2,perturb,4,11.385127158600563,0,0.8283768949340266,465.457788959,0.0045430660247802734
SAC,2,perturb,5,13.859102158098052,0,0.8402068951959952,515.7920928345375,0.0045430660247802734
TD3,2,nominal,-1,24.953250396859175,0,0.8422002147235043,358.1410815764575,0.004117012023925781
TD3,2,perturb,0,24.270507264366366,0,0.8419993000662358,411.0616413945827,0.004117012023925781
TD3,2,perturb,1,26.101706711857343,0,0.83929328838815,414.07030994235174,0.004117012023925781
TD3,2,perturb,2,24.383368266580803,0,0.8432117190256593,457.6833697837719,0.004117012023925781
TD3,2,perturb,3,20.15759983772244,0,0.84969179376104,477.4001873536308,0.004117012023925781
TD3,2,perturb,4,27.01572064904015,0,0.8390243053467829,340.9959717449219,0.004117012023925781
TD3,2,perturb,5,27.085805823244037,0,0.8390465299260398,372.47683655839137,0.004117012023925781
PPO,2,nominal,-1,7.175220961718683,0,0.8439054879913215,738.8842985785814,0.0033779144287109375
PPO,2,perturb,0,6.890865108495565,0,0.8443143965545398,768.5458358150245,0.0033779144287109375
PPO,2,perturb,1,7.0484032948497815,0,0.8484029210951703,694.738204150106,0.0033779144287109375
PPO,2,perturb,2,7.7237552851921425,0,0.8444145874068543,700.654833988192,0.0033779144287109375
PPO,2,perturb,3,9.999492879085768,0,0.8523414488099826,584.4155924183324,0.0033779144287109375
PPO,2,perturb,4,5.716853809807969,0,0.8454618619993605,751.6224898709261,0.0033779144287109375
