method,nominal_cost_mean,nominal_cost_std,nominal_viol,robust_cost_mean,robust_cost_std,robust_viol_mean,mean_eff
Rule,22.940,0.000,19.00,23.342,0.470,19.00,0.804
GA,5.509,2.276,0.00,5.884,2.194,1.50,0.833
PPO,7.809,1.338,0.00,7.980,1.986,0.03,0.847
TD3,21.417,6.777,0.00,20.800,6.539,0.03,0.828
SAC,15.476,4.398,0.00,16.427,4.037,0.00,0.834
Constrained-SAC,13.670,2.065,0.00,13.403,2.519,0.03,0.842
Distilled-MPC,5.135,0.422,0.40,5.394,0.864,0.90,0.838
MPC,5.384,0.000,0.00,4.890,0.685,0.50,0.845
DP-oracle,5.384,0.000,0.00,4.999,1.032,0.00,0.845
