method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
Constrained-SAC,0,nominal,-1,20.455621178052105,0,0.8455838891784798,684.33453330665,0.0046808719635009766
Constrained-SAC,0,perturb,0,20.809616691376473,1,0.8444251658378926,483.2174336047101,0.0046808719635009766
Constrained-SAC,0,perturb,1,20.840359547832556,1,0.8482772382371438,962.6836899626942,0.0046808719635009766
Constrained-SAC,0,perturb,2,20.57046798112102,1,0.8447902696021116,594.0094213556495,0.0046808719635009766
Constrained-SAC,0,perturb,3,21.99815969449656,1,0.8429925211915866,515.0761469195386,0.0046808719635009766
Constrained-SAC,0,perturb,4,20.797003303948493,1,0.8453349369338955,700.0381267946104,0.0046808719635009766
Constrained-SAC,0,perturb,5,22.293966875530767,2,0.8428510958916692,729.7399022700847,0.0046808719635009766
Distilled-MPC,0,nominal,-1,6.141121103061832,3,0.8492658671271434,10.697635823835299,0.0033388137817382812
Distilled-MPC,0,perturb,0,5.748429610898735,2,0.8543536307958884,108.97098286230903,0.0033388137817382812
Distilled-MPC,0,perturb,1,7.6102076145737225,1,0.8508170168717317,152.93474819280527,0.0033388137817382812
Distilled-MPC,0,perturb,2,6.8592441325361,2,0.8492529012283324,156.93553809808145,0.0033388137817382812
Distilled-MPC,0,perturb,3,9.33971220941527,1,0.8496620064105181,39.56307807624398,0.0033388137817382812
Distilled-MPC,0,perturb,4,7.458870622111386,1,0.8488366275227003,91.44847662621032,0.0033388137817382812
Distilled-MPC,0,perturb,5,5.753809476771028,0,0.8529005581214855,132.22486760179163,0.0033388137817382812
SAC,1,nominal,-1,2.189868110017348,0,0.8376712839850663,672.0957928053613,0.004538059234619141
SAC,1,perturb,0,1.989812826116422,0,0.8384952572087739,770.677239793029,0.004538059234619141
SAC,1,perturb,1,2.3179911834635436,0,0.842144326076169,384.8953991546532,0.004538059234619141
SAC,1,perturb,2,2.7007212424425324,0,0.8418987648826554,328.5097522626347,0.004538059234619141
SAC,1,perturb,3,5.3404081568582304,0,0.8404116938514296,539.6455037779724,0.004538059234619141
SAC,1,perturb,4,2.195271630037068,0,0.8399863716768543,505.7263261441658,0.004538059234619141
SAC,1,perturb,5,2.1825845401418285,0,0.8361812614907445,760.1346822536798,0.004538059234619141
TD3,1,nominal,-1,0.0,0,0.8325102926238541,1706.428757442447,0.0032491683959960938
TD3,1,perturb,0,0.0,0,0.8332775893875249,1746.5402786456743,0.0032491683959960938
