day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
25,extraction,950.8902439024389,951.7412391894472,951.7412391894475,16.24705882352941,17.42846365839678,0.7977356662173267,0.597669243812561,0.38,0.4995507680876017,122737.65104873155,61423.96319406968,0.0,25798.064541509262,0.07188918177994466,1.0194999999839638,-12.945567711967998
26,extraction,957.3731707317072,958.2523768759644,958.2523768759643,15.88235294117647,17.12339824460545,0.7888629590240308,0.5972165465354919,0.38,0.5017609360496849,122738.76528024054,61153.24752364449,0.0,25684.363959930684,0.08078934710021708,1.6691249998075364,-12.912017987136917
27,extraction,963.8560975609755,964.688690293184,964.688690293184,15.517647058823528,16.818935221267466,0.779930656336131,0.5965069532394409,0.38,0.5040987847114593,122711.56009131127,60852.81177923405,0.0,25558.1809472783,0.08198125754226901,1.0729590003393241,-12.864534283428066
28,extraction,970.3390243902438,971.0533829817975,971.0533829817975,15.152941176470588,16.515019919030074,0.7709394213085218,0.5957762002944946,0.38,0.5064543579372405,122681.51961310563,60548.929366685246,0.0,25430.550334007803,0.07375948744755581,1.0655410001163546,-12.8069318863142
29,extraction,976.8219512195121,977.4895026416021,977.489502641602,14.788235294117646,16.20987387864623,0.7618885925803588,0.5950695276260376,0.38,0.5086943063493727,122654.62836389957,60260.917267785575,0.0,25309.58525246994,0.0699388312185878,1.0602920001474558,-12.756389443876499
30,extraction,983.3048780487804,983.9408325623448,983.9408325623447,14.423529411764704,15.904200121202441,0.7527780293158927,0.5938130021095276,0.38,0.5110987372120519,122568.46982190778,59923.879673917225,0.0,25168.029463045234,0.07756587760941516,1.070374999926571,-12.706301836342421
31,extraction,989.7878048780487,990.5065525431459,990.506552543146,14.058823529411764,15.596794106383241,0.7436066723479006,0.5921006798744202,0.38,0.513395348446192,122433.96374996874,59576.936268905105,0.0,25022.31323294014,0.09166176086922881,1.066957999682927,-12.658418261133791
32,extraction,996.2707317073169,996.9894126945297,996.9894126945296,13.694117647058823,15.290063155481088,0.7343752888970253,0.5928332209587097,0.38,0.5730317667228064,122562.86655303463,52330.45059753764,0.0,21978.78925096581,0.0740229678929719,1.0254159997202805,-11.509417873339977
33,extraction,1002.7536585365852,1003.0019260767319,1003.0019260767317,13.329411764705881,14.988649041808799,0.7250882340259445,0.589329183101654,0.38,0.5757504743242627,122230.60656724795,51856.276859212594,0.0,21779.63628086929,0.09085987045141003,1.0129170000254817,-11.432118116706826
34,extraction,1009.2365853658536,1009.54685981089,1009.5468598108898,12.96470588235294,14.680492721347175,0.7157405779165844,0.587350606918335,0.38,0.5776152195721806,122067.18543052781,51559.32131551539,0.0,21654.914952516465,0.06773463756787959,1.0654999996404513,-11.352625684658138
35,extraction,1015.7195121951219,1016.1194681719309,1016.119468171931,12.599999999999998,14.371678585006997,0.7063320643223998,0.5860503911972046,0.38,0.5792673891078159,121977.23976485853,51319.80255569087,0.0,21554.317073390164,0.061752509777059886,1.0316249999959837,-11.303631021996312
36,extraction,1022.2024390243902,1022.6401336860947,1022.6401336860946,12.235294117647058,14.063150016748978,0.6968631741956767,0.5853466391563416,0.38,0.5807470260102541,121951.3132555941,51128.45076436295,0.0,21473.949321032436,0.05362831771474293,1.0177920003116014,-11.263853650045434
37,extraction,1028.6853658536584,1029.1462173409866,1029.1462173409866,11.870588235294116,13.754460158931929,0.6873340425536305,0.5844981670379639,0.38,0.582292314679492,121909.64498927888,50922.595626716546,0.0,21387.490163220948,0.05783351715468541,1.0102500000357395,-11.233183959509804
