strategy,total_reward,total_operating_cost_10k_yuan,total_power_10k_kwh,annual_renewable_share,total_penalty,training_time_s,avg_inference_time_ms
rule,-2592.66969479866,451.51231725207373,3456.646781668768,0.6902776525968256,370.53288904332476,0.0,0.027782523287674016
ga,-1992.4624881386235,350.4134627835633,3167.4268049399025,0.737992620442111,375.90683208366045,14.67251706123352,0.028789517808267644
mpc,-2096.899015169844,331.56087735599795,3215.434441990426,0.7558643775498908,525.787174607962,0.0,3.0710089945205183
sac_best,-2314.1801319149267,403.0387529859757,3360.1107468768487,0.7154439362004484,359.2802741085911,2882.2314779758453,1.1859851616463857
td3_best,-2579.8406388295302,386.6544941414254,3700.0833113354242,0.7516371919319194,473.221470936013,1820.659831047058,0.5410994246556409
ppo_best,-11643.000908212498,1584.3702877390597,4090.0545065133965,0.07908417425979328,4667.403624272241,55.1370530128479,0.08628717807792559
