commanded_alpha,realized_alpha,p_source,q0,Qin,head,omega,omega_raw,phi,eta,power_kwh,feasible_on
1.65,1.65,165.0,928.04,9280.4,73.258,7631.4,7631.4,1.2161,0.7488,4.0859,1
1.655,1.655,165.5,932.48,9324.8,73.727,7662.9,7662.9,1.2169,0.748,4.1361,1
1.66,1.66,166.0,936.91,9369.1,74.195,7694.4,7694.4,1.2177,0.7472,4.1865,1
1.665,1.665,166.5,941.34,9413.4,74.662,7725.7,7725.7,1.2184,0.7464,4.2371,1
1.67,1.67,167.0,945.75,9457.5,75.127,7757.0,7757.0,1.2192,0.7456,4.288,1
1.675,1.675,167.5,950.16,9501.6,75.592,7788.2,7788.2,1.22,0.7449,4.3392,1
1.68,1.68,168.0,954.57,9545.7,76.055,7819.3,7819.3,1.2208,0.7441,4.3906,1
1.685,1.685,168.5,958.96,9589.6,76.518,7850.3,7850.3,1.2216,0.7433,4.4422,1
1.69,1.69,169.0,963.35,9633.5,76.979,7881.3,7881.3,1.2223,0.7425,4.4941,1
1.695,1.695,169.5,967.74,9677.4,77.44,7912.2,7912.2,1.2231,0.7418,4.5463,1
1.7,1.7,170.0,972.11,9721.1,77.899,7943.0,7943.0,1.2239,0.741,4.5987,1
1.705,1.705,170.5,976.48,9764.8,78.357,7973.8,7973.8,1.2246,0.7402,4.6514,1
1.71,1.71,171.0,980.84,9808.4,78.814,8004.5,8004.5,1.2254,0.7395,4.7044,1
1.715,1.715,171.5,985.2,9852.0,79.27,8035.1,8035.1,1.2261,0.7387,4.7576,1
1.72,1.72,172.0,989.55,9895.5,79.726,8065.6,8065.6,1.2269,0.7379,4.811,1
1.725,1.725,172.5,993.89,9938.9,80.18,8096.1,8096.1,1.2276,0.7372,4.8647,1
1.73,1.73,173.0,998.22,9982.2,80.633,8126.5,8126.5,1.2283,0.7364,4.9186,1
1.735,1.735,173.5,1002.55,10025.5,81.085,8156.9,8156.9,1.2291,0.7356,4.9728,1
1.74,1.74,174.0,1006.88,10068.8,81.536,8187.2,8187.2,1.2298,0.7349,5.0273,1
1.745,1.745,174.5,1011.19,10111.9,81.986,8217.4,8217.4,1.2305,0.7341,5.082,1
1.75,1.75,175.0,1015.5,10155.0,82.435,8247.6,8247.6,1.2313,0.7333,5.137,1
1.755,1.755,175.5,1019.81,10198.1,82.884,8277.7,8277.7,1.232,0.7326,5.1922,1
1.76,1.76,176.0,1024.11,10241.1,83.331,8307.8,8307.8,1.2327,0.7318,5.2477,1
1.765,1.765,176.5,1028.4,10284.0,83.777,8337.8,8337.8,1.2334,0.731,5.3034,1
1.77,1.77,177.0,1032.69,10326.9,84.222,8367.7,8367.7,1.2341,0.7303,5.3594,1
1.775,1.775,177.5,1036.97,10369.7,84.666,8397.6,8397.6,1.2348,0.7295,5.4156,1
1.78,1.78,178.0,1041.25,10412.5,85.11,8427.5,8427.5,1.2355,0.7288,5.4721,1
1.785,1.785,178.5,1045.52,10455.2,85.552,8457.2,8457.2,1.2362,0.728,5.5288,1
1.79,1.79,179.0,1049.79,10497.9,85.993,8486.9,8486.9,1.2369,0.7273,5.5858,1
1.795,1.795,179.5,1054.05,10540.5,86.434,8516.6,8516.6,1.2376,0.7265,5.643,1
1.8,1.8,180.0,1058.3,10583.0,86.873,8546.2,8546.2,1.2383,0.7258,5.7005,1
1.805,1.805,180.5,1062.55,10625.5,87.312,8575.8,8575.8,1.239,0.725,5.7583,1
1.81,1.81,181.0,1066.79,10667.9,87.749,8605.3,8605.3,1.2397,0.7243,5.8163,1
1.815,1.815,181.5,1071.03,10710.3,88.186,8634.7,8634.7,1.2404,0.7235,5.8745,1
1.82,1.82,182.0,1075.27,10752.7,88.622,8664.2,8664.2,1.2411,0.7228,5.933,1
1.825,1.825,182.5,1079.5,10795.0,89.057,8693.5,8693.5,1.2417,0.722,5.9917,1
1.83,1.83,183.0,1083.72,10837.2,89.491,8722.8,8722.8,1.2424,0.7213,6.0507,1
1.835,1.835,183.5,1087.94,10879.4,89.924,8752.1,8752.1,1.2431,0.7205,6.11,1
1.84,1.84,184.0,1092.15,10921.5,90.356,8781.3,8781.3,1.2437,0.7198,6.1695,1
1.845,1.845,184.5,1096.36,10963.6,90.787,8810.5,8810.5,1.2444,0.719,6.2293,1
1.85,1.85,185.0,1100.57,11005.7,91.217,8839.6,8839.6,1.245,0.7183,6.2893,1
1.855,1.855,185.5,1104.77,11047.7,91.647,8868.6,8868.6,1.2457,0.7176,6.3495,1
1.86,1.86,186.0,1108.96,11089.6,92.075,8897.7,8897.7,1.2464,0.7168,6.41,1
1.865,1.865,186.5,1113.15,11131.5,92.503,8926.6,8926.6,1.247,0.7161,6.4708,1
1.87,1.87,187.0,1117.34,11173.4,92.93,8955.6,8955.6,1.2476,0.7154,6.5318,1
1.875,1.875,187.5,1121.52,11215.2,93.356,8984.5,8984.5,1.2483,0.7146,6.5931,1
1.88,1.88,188.0,1125.7,11257.0,93.781,9013.3,9013.3,1.2489,0.7139,6.6546,1
1.885,1.885,188.5,1129.87,11298.7,94.205,9042.1,9042.1,1.2496,0.7132,6.7164,1
1.89,1.89,189.0,1134.04,11340.4,94.628,9070.9,9070.9,1.2502,0.7124,6.7784,1
1.895,1.895,189.5,1138.21,11382.1,95.05,9099.6,9099.6,1.2508,0.7117,6.8406,1
1.9,1.9,190.0,1142.37,11423.7,95.472,9128.3,9128.3,1.2515,0.711,6.9032,1
1.905,1.905,190.5,1146.52,11465.2,95.893,9156.9,9156.9,1.2521,0.7102,6.9659,1
1.91,1.91,191.0,1150.67,11506.7,96.313,9185.5,9185.5,1.2527,0.7095,7.0289,1
1.915,1.915,191.5,1154.82,11548.2,96.732,9214.1,9214.1,1.2533,0.7088,7.0922,1
1.92,1.92,192.0,1158.97,11589.7,97.15,9242.6,9242.6,1.2539,0.7081,7.1557,1
1.925,1.925,192.5,1163.1,11631.0,97.567,9271.1,9271.1,1.2545,0.7073,7.2195,1
1.93,1.93,193.0,1167.24,11672.4,97.984,9299.5,9299.5,1.2552,0.7066,7.2835,1
1.935,1.935,193.5,1171.37,11713.7,98.399,9327.9,9327.9,1.2558,0.7059,7.3478,1
1.94,1.94,194.0,1175.5,11755.0,98.814,9356.3,9356.3,1.2564,0.7052,7.4123,1
1.945,1.945,194.5,1179.62,11796.2,99.228,9384.6,9384.6,1.257,0.7045,7.4771,1
1.95,1.95,195.0,1183.74,11837.4,99.641,9400.0,9412.9,1.2593,0.7017,7.5644,1
1.955,1.955,195.5,1187.86,11878.6,100.054,9400.0,9441.2,1.2637,0.6963,7.6805,1
1.96,1.96,196.0,1191.97,11919.7,100.465,9400.0,9469.4,1.2681,0.6909,7.7997,1
1.965,1.965,196.5,1196.08,11960.8,100.876,9400.0,9497.6,1.2724,0.6854,7.9221,1
1.97,1.97,197.0,1200.19,12001.9,101.286,9400.0,9525.7,1.2768,0.6797,8.0479,1
1.975,1.975,197.5,1204.29,12042.9,101.695,9400.0,9553.9,1.2812,0.674,8.1772,1
1.98,1.98,198.0,1208.39,12083.9,102.104,9400.0,9581.9,1.2855,0.6681,8.3101,1
1.985,1.985,198.5,1212.48,12124.8,102.511,9400.0,9610.0,1.2899,0.6622,8.4469,1
1.99,1.99,199.0,1216.57,12165.7,102.918,9400.0,9638.0,1.2942,0.6561,8.5876,1
1.995,1.995,199.5,1220.66,12206.6,103.324,9400.0,9666.0,1.2986,0.6499,8.7326,1
2.0,2.0,200.0,1224.74,12247.4,103.729,9400.0,9693.9,1.3029,0.6436,8.882,1
