method,hour,alpha,p2,p3,linepack,purchase_cost,cum_cost
Distilled-MPC,7,1.0,98.37,92.99,8637.9,0.0,0.0
Distilled-MPC,8,1.0,98.04,91.08,8545.2,0.0,0.0
Distilled-MPC,9,1.0,97.58,88.88,8434.4,0.0,0.0
Distilled-MPC,10,1.0,97.07,86.89,8329.0,0.0,0.0
Distilled-MPC,11,1.0,96.6,85.48,8248.9,0.0,0.0
Distilled-MPC,12,1.0,96.23,84.51,8191.8,0.0,0.0
Distilled-MPC,13,1.0,95.96,83.65,8144.1,0.0,0.0
Distilled-MPC,14,1.0,95.73,82.66,8093.1,0.0,0.0
Distilled-MPC,15,1.0,95.5,81.56,8037.4,0.0,0.0
Distilled-MPC,16,1.3689,104.93,80.36,8460.8,2.1814,2.1814
Distilled-MPC,17,1.0,94.4,80.91,7956.2,0.0,2.1814
Distilled-MPC,18,1.3665,104.02,79.34,8374.8,2.1989,4.3803
Distilled-MPC,19,1.0,93.95,80.36,7912.3,0.0,4.3803
Distilled-MPC,20,1.0,94.44,80.31,7934.4,0.0,4.3803
Distilled-MPC,21,1.0,94.65,81.36,7986.8,0.0,4.3803
Distilled-MPC,22,1.3074,103.08,83.02,8474.6,0.4254,4.8057
Distilled-MPC,23,1.4039,111.09,86.6,9018.6,0.5527,5.3584
