method,nominal_cost_mean,nominal_cost_std,nominal_viol,robust_cost_mean,robust_cost_std,robust_viol_mean,mean_eff
Rule,31.740,0.000,13.00,32.154,0.487,12.67,0.822
GA,5.570,0.438,0.00,6.758,1.057,0.00,0.810
PPO,13.157,1.550,0.00,12.908,2.829,0.06,0.824
TD3,22.580,8.710,0.33,20.073,7.467,0.44,0.785
SAC,16.066,3.395,0.00,14.212,3.518,0.00,0.809
Constrained-SAC,17.079,1.476,0.00,17.427,1.628,0.00,0.804
Distilled-MPC,5.256,0.635,0.00,6.531,1.161,0.11,0.822
MPC,6.703,0.000,0.00,6.911,0.802,0.00,0.815
DP-oracle,6.703,0.000,0.00,6.641,0.763,0.00,0.815
