method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
Rule,0,nominal,-1,31.740286618200187,13,0.8223121025958765,7388.189821887132,0.0023849010467529297
Rule,0,perturb,0,31.84399440814373,13,0.8227373967526015,7415.752946791574,0.0023849010467529297
Rule,0,perturb,1,32.7461896616358,13,0.8230082920443685,6857.471814907269,0.0023849010467529297
Rule,0,perturb,2,32.01623981403432,13,0.821487846225191,7411.444803663966,0.0023849010467529297
Rule,0,perturb,3,31.407503597590626,13,0.8225117415233374,7402.676421731947,0.0023849010467529297
Rule,0,perturb,4,32.78571670080871,12,0.8226709411422443,7395.063600053916,0.0023849010467529297
Rule,0,perturb,5,32.121999465304526,12,0.8237622053508223,7384.028299286543,0.0023849010467529297
GA,0,nominal,-1,5.684132793744643,0,0.8062082062031983,1.218156415356134,11.719017028808594
GA,0,perturb,0,5.692280541617787,0,0.8067832568647418,28.812573249617344,11.719017028808594
GA,0,perturb,1,6.9336575490405,0,0.8062094245430537,37.79004156460178,11.719017028808594
GA,0,perturb,2,6.87570535495909,0,0.8064327978737849,25.706359738574974,11.719017028808594
GA,0,perturb,3,7.8628974286160656,0,0.8064399545640092,1.4387514070767793,11.719017028808594
GA,0,perturb,4,6.906168125576711,0,0.8057255590043271,1.0912766063775052,11.719017028808594
GA,0,perturb,5,5.72231532335034,0,0.8063096830687267,72.10121903819527,11.719017028808594
GA,1,nominal,-1,6.039864720756946,0,0.8054523312259599,2.331576709950241,11.991289854049683
GA,1,perturb,0,6.048090656128023,0,0.805471834827916,30.02445759489092,11.991289854049683
GA,1,perturb,1,8.546779243694463,0,0.8048482869225513,36.37783236420728,11.991289854049683
GA,1,perturb,2,7.895379901342338,0,0.8051219300657729,24.280868253361405,11.991289854049683
GA,1,perturb,3,6.049734886263014,0,0.8062652670579284,0.898062690597726,11.991289854049683
GA,1,perturb,4,8.54055611962134,0,0.8054370532852505,5.367947353870477,11.991289854049683
GA,1,perturb,5,6.063774836484005,0,0.8057127563082207,70.46294884830968,11.991289854049683
GA,2,nominal,-1,4.9859448471624646,0,0.816973037360075,10.981751755978621,11.989983797073364
GA,2,perturb,0,5.002820252052883,0,0.8172966874143436,40.26745612659761,11.989983797073364
GA,2,perturb,1,7.582018138345195,0,0.8163765791753441,60.10814233276324,11.989983797073364
GA,2,perturb,2,6.512994387207904,0,0.8165192546128673,5.954261521244916,11.989983797073364
GA,2,perturb,3,6.844633607286116,0,0.8173808954857406,7.772493847287478,11.989983797073364
GA,2,perturb,4,7.540118910377803,0,0.8167679772093807,8.016239526530626,11.989983797073364
GA,2,perturb,5,5.025485381270217,0,0.8168593251095877,78.61261453424959,11.989983797073364
MPC,0,nominal,-1,6.702694001023729,0,0.8153042202181885,141.22814847558038,6.664026975631714
MPC,0,perturb,0,6.698074096080723,0,0.8158111695524152,112.51962932269271,6.664026975631714
MPC,0,perturb,1,7.978195793951154,0,0.8193782277595957,153.34933215374622,6.664026975631714
MPC,0,perturb,2,6.970425909094444,0,0.8145096134718678,145.74144256047657,6.664026975631714
MPC,0,perturb,3,6.557942221899271,0,0.8193809083226818,187.95418163245267,6.664026975631714
MPC,0,perturb,4,7.721776827743217,0,0.8181723988161282,47.728282994745314,6.664026975631714
MPC,0,perturb,5,5.537328039867219,0,0.8193076320503822,123.4274255111959,6.664026975631714
DP-oracle,0,nominal,-1,6.702694001023729,0,0.8153042202181885,141.22814847558038,6.279346942901611
DP-oracle,0,perturb,0,6.793910313142632,0,0.8154386474461863,136.80552325094686,6.279346942901611
DP-oracle,0,perturb,1,8.226650608596136,0,0.797192403968158,124.78073360954477,6.279346942901611
DP-oracle,0,perturb,2,6.0490374147860075,0,0.8181831158073308,149.9856769334947,6.279346942901611
DP-oracle,0,perturb,3,6.12694234033709,0,0.8215456345680309,104.99848877925251,6.279346942901611
DP-oracle,0,perturb,4,6.062051685896235,0,0.8128534523291012,168.19785727103954,6.279346942901611
DP-oracle,0,perturb,5,6.590054940852326,0,0.8165450701878264,154.76370340674657,6.279346942901611
SAC,0,nominal,-1,15.561328836063291,0,0.8177799520666073,175.5838207670131,0.004695892333984375
SAC,0,perturb,0,16.370148307927575,0,0.822677196433749,290.4216963002218,0.004695892333984375
SAC,0,perturb,1,11.376712422829478,0,0.8134533941884824,617.6872822814257,0.004695892333984375
SAC,0,perturb,2,9.694253419190147,0,0.8096644745025854,1131.6560969501097,0.004695892333984375
SAC,0,perturb,3,16.588689901632364,0,0.8155463134498874,204.6830038371554,0.004695892333984375
SAC,0,perturb,4,11.791100037723094,0,0.8139283073396579,1033.112516021054,0.004695892333984375
SAC,0,perturb,5,17.785898468064495,0,0.8162181185526994,315.9431111803424,0.004695892333984375
TD3,0,nominal,-1,13.117662229496283,0,0.8029110392460117,580.2628380604474,0.004068851470947266
TD3,0,perturb,0,11.208310390232597,1,0.8112391774506206,756.3703807555685,0.004068851470947266
TD3,0,perturb,1,15.864867944120936,0,0.7925426391297355,229.8128820922284,0.004068851470947266
TD3,0,perturb,2,13.2863341082911,0,0.8052701974106761,225.430536605214,0.004068851470947266
TD3,0,perturb,3,16.030804017548384,0,0.7900811166237599,283.77018405726267,0.004068851470947266
TD3,0,perturb,4,13.396845937105946,0,0.7972604198336125,199.9129257941313,0.004068851470947266
TD3,0,perturb,5,14.667228611351462,0,0.800998155812918,484.87577936821253,0.004068851470947266
PPO,0,nominal,-1,12.597731709777982,0,0.819217636442456,353.8179826151609,0.0036940574645996094
PPO,0,perturb,0,12.532286241180785,0,0.8215227267952355,590.9752361053215,0.0036940574645996094
PPO,0,perturb,1,12.763838337789357,0,0.822179672156723,782.6055640233863,0.0036940574645996094
PPO,0,perturb,2,14.558061497203793,0,0.8272615318879946,815.0633004426381,0.0036940574645996094
PPO,0,perturb,3,11.547191237682673,0,0.8301813586218575,445.6252146792922,0.0036940574645996094
PPO,0,perturb,4,10.884196860058914,0,0.8280705967047179,831.307539471989,0.0036940574645996094
PPO,0,perturb,5,13.80215641383596,0,0.8229260969592005,316.65701818782327,0.0036940574645996094
Constrained-SAC,0,nominal,-1,15.211060074272117,0,0.8054087655114502,85.6405172240975,0.004564046859741211
Constrained-SAC,0,perturb,0,17.026191848096833,0,0.7931231216176687,181.22782904178894,0.004564046859741211
Constrained-SAC,0,perturb,1,16.141303311702522,0,0.8059354869302949,30.589444007255224,0.004564046859741211
Constrained-SAC,0,perturb,2,14.036500979986146,0,0.8113953442837509,191.77147435817642,0.004564046859741211
Constrained-SAC,0,perturb,3,17.210524486239642,0,0.8010400517009736,68.9481068079458,0.004564046859741211
Constrained-SAC,0,perturb,4,15.900826759165039,0,0.8064507453874207,79.12534197741843,0.004564046859741211
Constrained-SAC,0,perturb,5,16.761674599972217,0,0.8112539060713412,167.19495448336966,0.004564046859741211
Distilled-MPC,0,nominal,-1,6.151909976627504,0,0.8151140538949692,142.2992840659972,0.0028290748596191406
Distilled-MPC,0,perturb,0,7.729485409853245,0,0.8051075997243701,35.91448883943667,0.0028290748596191406
Distilled-MPC,0,perturb,1,6.9562714007928435,0,0.8059703693227614,274.3837314402772,0.0028290748596191406
Distilled-MPC,0,perturb,2,6.384648700789393,0,0.8152545855972865,265.1525351004457,0.0028290748596191406
Distilled-MPC,0,perturb,3,7.6778416856210505,0,0.8048001444474954,95.47240338212941,0.0028290748596191406
Distilled-MPC,0,perturb,4,6.797472572721929,0,0.8093853403744928,51.32778964290992,0.0028290748596191406
Distilled-MPC,0,perturb,5,7.932811482996075,0,0.804254772591425,42.77818455888337,0.0028290748596191406
SAC,1,nominal,-1,12.183544226910115,0,0.8026882974984452,507.9463680893641,0.0051152706146240234
SAC,1,perturb,0,12.27847418681227,0,0.7987050458809607,106.39041670840015,0.0051152706146240234
SAC,1,perturb,1,12.246282480813742,0,0.8142399823937948,562.9808977552311,0.0051152706146240234
SAC,1,perturb,2,12.83005327021229,0,0.8019628877037186,189.89452920557596,0.0051152706146240234
SAC,1,perturb,3,10.461923556501716,0,0.8116229934867917,628.0383216509745,0.0051152706146240234
SAC,1,perturb,4,10.17748081166841,0,0.798924078975301,578.4188617154214,0.0051152706146240234
SAC,1,perturb,5,12.654799377088658,0,0.8123876257011,641.061746349722,0.0051152706146240234
TD3,1,nominal,-1,34.1404834684087,1,0.7494451266581615,2291.831092796234,0.004615068435668945
TD3,1,perturb,0,35.710906692364084,0,0.7467112280140102,2250.6723644055965,0.004615068435668945
TD3,1,perturb,1,24.35495203766095,3,0.7869560257704483,433.7742733870509,0.004615068435668945
TD3,1,perturb,2,30.374573365300368,0,0.7837887576047547,424.72422740868205,0.004615068435668945
TD3,1,perturb,3,20.97092767546508,1,0.793667408445827,972.4815269318169,0.004615068435668945
TD3,1,perturb,4,27.920988001364165,1,0.7854025518787423,1154.3232932369174,0.004615068435668945
TD3,1,perturb,5,31.84241700173414,2,0.7659615041726401,2308.0918002007566,0.004615068435668945
PPO,1,nominal,-1,11.60137409434231,0,0.8272776085170978,684.7754118075063,0.0035257339477539062
PPO,1,perturb,0,10.022120253534327,0,0.8241243854280871,946.2422866205488,0.0035257339477539062
PPO,1,perturb,1,10.432080056361132,0,0.8325332058707872,1168.1409547298645,0.0035257339477539062
PPO,1,perturb,2,12.472234103162766,0,0.8283482878037502,790.2269601994703,0.0035257339477539062
PPO,1,perturb,3,9.161410881713056,0,0.833650819083955,1142.3686283657007,0.0035257339477539062
PPO,1,perturb,4,11.12981309850252,0,0.8307497463786092,1133.7171497855234,0.0035257339477539062
PPO,1,perturb,5,12.953091814735176,0,0.8244212235322833,702.5503859222026,0.0035257339477539062
Constrained-SAC,1,nominal,-1,17.20499105638122,0,0.8021111033096194,97.82974284588636,0.004618167877197266
Constrained-SAC,1,perturb,0,17.645167192810423,0,0.8007365781103403,10.474075732381607,0.004618167877197266
Constrained-SAC,1,perturb,1,15.442127418622036,0,0.8087214992317767,32.58958291535964,0.004618167877197266
Constrained-SAC,1,perturb,2,17.80620216879012,0,0.8002950871096138,138.8979634254374,0.004618167877197266
Constrained-SAC,1,perturb,3,16.498241985164103,0,0.8050537973605607,164.03941099635267,0.004618167877197266
Constrained-SAC,1,perturb,4,16.746930564025824,0,0.8053302429407992,7.573704240630832,0.004618167877197266
Constrained-SAC,1,perturb,5,17.944801796939203,0,0.8004326305591665,29.877359716640058,0.004618167877197266
Distilled-MPC,1,nominal,-1,4.865510803854624,0,0.8250172568757265,64.56494331091017,0.002778768539428711
Distilled-MPC,1,perturb,0,6.282233215906658,0,0.8221151904640157,43.5660364069081,0.002778768539428711
Distilled-MPC,1,perturb,1,6.625292340541478,0,0.8163164641789727,98.71377213617598,0.002778768539428711
Distilled-MPC,1,perturb,2,4.631324685570857,0,0.8261718079099358,819.8010380296182,0.002778768539428711
Distilled-MPC,1,perturb,3,7.230952297418805,0,0.8228115603434004,172.29802765960994,0.002778768539428711
Distilled-MPC,1,perturb,4,6.365484670782079,0,0.818496207713623,57.55941824878755,0.002778768539428711
Distilled-MPC,1,perturb,5,6.910586403664154,0,0.8216159088521793,95.57887989750452,0.002778768539428711
SAC,2,nominal,-1,20.45243699666847,0,0.807493384672008,216.13104848658622,0.004938840866088867
SAC,2,perturb,0,20.22991481679584,0,0.8058164652132681,269.1857385966796,0.004938840866088867
SAC,2,perturb,1,15.1351127600441,0,0.8117170462344251,622.1968354954224,0.004938840866088867
SAC,2,perturb,2,15.503891237274336,0,0.812704574989645,281.30955772457673,0.004938840866088867
SAC,2,perturb,3,12.975178515314353,0,0.810386721019326,691.3255340701617,0.004938840866088867
SAC,2,perturb,4,14.407665335906282,0,0.8112431676241642,693.4719298612436,0.004938840866088867
SAC,2,perturb,5,23.30902733352376,0,0.8010611731170093,371.31501773299715,0.004938840866088867
TD3,2,nominal,-1,20.481146810039796,0,0.8026032440793515,497.0837171653111,0.004647016525268555
TD3,2,perturb,0,20.22985916369715,0,0.7943853001821225,382.2294350633165,0.004647016525268555
TD3,2,perturb,1,24.699720013775266,0,0.8108750937836136,466.3339279213251,0.004647016525268555
TD3,2,perturb,2,9.11762534113858,0,0.8174089263695595,1493.8204697169967,0.004647016525268555
TD3,2,perturb,3,12.694816732076736,0,0.7979097940315353,132.2117829553099,0.004647016525268555
TD3,2,perturb,4,17.964901643695768,0,0.8162608844955788,766.416406977256,0.004647016525268555
TD3,2,perturb,5,20.970720018546103,0,0.8009135676076067,340.2503412455262,0.004647016525268555
PPO,2,nominal,-1,15.272679151008983,0,0.8258167730519096,767.388069864046,0.0034651756286621094
PPO,2,perturb,0,14.461653652889144,1,0.8233153434301949,1289.580193391248,0.0034651756286621094
PPO,2,perturb,1,16.674517173099318,0,0.817886099769368,1269.9195674961775,0.0034651756286621094
PPO,2,perturb,2,13.847998653432212,0,0.8227391188532623,848.1987191546868,0.0034651756286621094
PPO,2,perturb,3,8.220771494308101,0,0.827951543619545,923.1763865824469,0.0034651756286621094
PPO,2,perturb,4,19.414449173697815,0,0.8179211150440283,1173.6998392542573,0.0034651756286621094
PPO,2,perturb,5,17.470285906101516,0,0.8251693954643086,785.4145033622735,0.0034651756286621094
Constrained-SAC,2,nominal,-1,18.81996479618325,0,0.8038381471370625,13.354548785133375,0.004827260971069336
Constrained-SAC,2,perturb,0,18.871838806950088,0,0.8026394553530446,48.20810952082684,0.004827260971069336
Constrained-SAC,2,perturb,1,20.737190215504146,0,0.7898618381159341,77.77119389766449,0.004827260971069336
Constrained-SAC,2,perturb,2,18.86106718059509,0,0.8002134586821468,203.4982238882585,0.004827260971069336
Constrained-SAC,2,perturb,3,16.726277251002617,0,0.8058699222971665,168.44969440425848,0.004827260971069336
Constrained-SAC,2,perturb,4,20.036153182712095,0,0.7882738121980584,95.19316656731826,0.004827260971069336
Constrained-SAC,2,perturb,5,19.288756248794897,0,0.8043968972402281,6.299948150783166,0.004827260971069336
Distilled-MPC,2,nominal,-1,4.750458422456195,0,0.8246838217238782,126.65898030113749,0.002711772918701172
Distilled-MPC,2,perturb,0,4.728298389952739,0,0.8244525271435951,100.48870574280227,0.002711772918701172
Distilled-MPC,2,perturb,1,8.514868387668624,1,0.8143737686447352,257.5368846938909,0.002711772918701172
Distilled-MPC,2,perturb,2,4.399364905806614,0,0.827042342480131,46.13088060752307,0.002711772918701172
Distilled-MPC,2,perturb,3,5.712828026998301,1,0.8253837939964223,136.64318062264647,0.002711772918701172
Distilled-MPC,2,perturb,4,7.451515772568983,0,0.8033986044896002,285.8203198357005,0.002711772918701172
Distilled-MPC,2,perturb,5,5.229775838834246,0,0.8271316129477245,89.91290960239894,0.002711772918701172
